time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,CPP_End_first_6months,3_months_or_less,3_months_or_less_percent,3_months_or_less_transfer,3_months_or_less_transfer_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months,more_than_6_months_percent
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Child Protection Plans ending during the first six months of the year,250,134,53.6,6,4.5,42,16.8,74,29.6
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Child Protection Plans ending during the first six months of the year,316,161,50.9,c,c,58,18.4,97,30.7
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Child Protection Plans ending during the first six months of the year,226,89,39.4,6,6.7,42,18.6,95,42
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Child Protection Plans ending during the first six months of the year,168,69,41.1,0,0,54,32.1,45,26.8
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Child Protection Plans ending during the first six months of the year,287,131,45.6,12,9.2,53,18.5,103,35.9
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Child Protection Plans ending during the first six months of the year,438,243,55.5,28,11.5,65,14.8,130,29.7
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Child Protection Plans ending during the first six months of the year,17,10,58.8,c,c,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Child Protection Plans ending during the first six months of the year,225,100,44.4,0,0,43,19.1,82,36.4
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Child Protection Plans ending during the first six months of the year,789,371,47,30,8.1,143,18.1,275,34.9
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Child Protection Plans ending during the first six months of the year,283,105,37.1,20,19,93,32.9,85,30
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Child Protection Plans ending during the first six months of the year,167,62,37.1,c,c,48,28.7,57,34.1
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Child Protection Plans ending during the first six months of the year,168,29,17.3,0,0,53,31.5,86,51.2
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Child Protection Plans ending during the first six months of the year,162,57,35.2,c,c,35,21.6,70,43.2
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Child Protection Plans ending during the first six months of the year,145,59,40.7,0,0,19,13.1,67,46.2
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Child Protection Plans ending during the first six months of the year,137,57,41.6,10,17.5,27,19.7,53,38.7
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Child Protection Plans ending during the first six months of the year,427,163,38.2,36,22.1,102,23.9,162,37.9
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Child Protection Plans ending during the first six months of the year,350,166,47.4,9,5.4,57,16.3,127,36.3
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Child Protection Plans ending during the first six months of the year,144,67,46.5,c,c,31,21.5,46,31.9
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Child Protection Plans ending during the first six months of the year,133,33,24.8,c,c,16,12,84,63.2
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Child Protection Plans ending during the first six months of the year,173,40,23.1,c,c,60,34.7,73,42.2
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Child Protection Plans ending during the first six months of the year,132,44,33.3,c,c,31,23.5,57,43.2
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Child Protection Plans ending during the first six months of the year,356,156,43.8,13,8.3,62,17.4,138,38.8
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Child Protection Plans ending during the first six months of the year,106,33,31.1,c,c,29,27.4,44,41.5
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Child Protection Plans ending during the first six months of the year,214,124,57.9,8,6.5,32,15,58,27.1
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Child Protection Plans ending during the first six months of the year,126,63,50,8,12.7,18,14.3,45,35.7
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Child Protection Plans ending during the first six months of the year,325,85,26.2,27,31.8,86,26.5,154,47.4
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Child Protection Plans ending during the first six months of the year,321,87,27.1,17,19.5,80,24.9,154,48
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Child Protection Plans ending during the first six months of the year,143,67,46.9,10,14.9,26,18.2,50,35
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Child Protection Plans ending during the first six months of the year,367,164,44.7,9,5.5,79,21.5,124,33.8
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Child Protection Plans ending during the first six months of the year,104,26,25,c,c,21,20.2,57,54.8
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Child Protection Plans ending during the first six months of the year,62,15,24.2,c,c,7,11.3,40,64.5
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Child Protection Plans ending during the first six months of the year,294,69,23.5,15,21.7,88,29.9,137,46.6
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Child Protection Plans ending during the first six months of the year,60,17,28.3,c,c,17,28.3,26,43.3
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Child Protection Plans ending during the first six months of the year,85,28,32.9,c,c,16,18.8,41,48.2
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Child Protection Plans ending during the first six months of the year,152,51,33.6,10,19.6,19,12.5,82,53.9
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Child Protection Plans ending during the first six months of the year,321,114,35.5,17,14.9,89,27.7,118,36.8
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Child Protection Plans ending during the first six months of the year,307,70,22.8,14,20,55,17.9,182,59.3
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Child Protection Plans ending during the first six months of the year,u,u,u,u,u,u,u,u,u
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Child Protection Plans ending during the first six months of the year,97,65,67,0,0,14,14.4,18,18.6
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Child Protection Plans ending during the first six months of the year,710,149,21,34,22.8,313,44.1,248,34.9
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Child Protection Plans ending during the first six months of the year,168,60,35.7,21,35,45,26.8,63,37.5
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Child Protection Plans ending during the first six months of the year,104,21,20.2,c,c,26,25,57,54.8
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Child Protection Plans ending during the first six months of the year,324,107,33,c,c,83,25.6,134,41.4
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Child Protection Plans ending during the first six months of the year,115,32,27.8,8,25,25,21.7,58,50.4
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Child Protection Plans ending during the first six months of the year,94,27,28.7,12,44.4,22,23.4,45,47.9
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Child Protection Plans ending during the first six months of the year,150,84,56,17,20.2,24,16,42,28
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Child Protection Plans ending during the first six months of the year,172,79,45.9,10,12.7,35,20.3,58,33.7
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Child Protection Plans ending during the first six months of the year,452,177,39.2,36,20.3,100,22.1,175,38.7
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Child Protection Plans ending during the first six months of the year,181,42,23.2,7,16.7,67,37,72,39.8
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Child Protection Plans ending during the first six months of the year,436,159,36.5,11,6.9,99,22.7,178,40.8
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Child Protection Plans ending during the first six months of the year,94,39,41.5,11,28.2,24,25.5,31,33
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Child Protection Plans ending during the first six months of the year,66,18,27.3,9,50,15,22.7,33,50
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Child Protection Plans ending during the first six months of the year,83,11,13.3,c,c,14,16.9,58,69.9
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Child Protection Plans ending during the first six months of the year,321,136,42.4,c,c,84,26.2,101,31.5
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Child Protection Plans ending during the first six months of the year,171,72,42.1,c,c,34,19.9,65,38
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Child Protection Plans ending during the first six months of the year,224,89,39.7,c,c,29,12.9,106,47.3
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Child Protection Plans ending during the first six months of the year,395,149,37.7,10,6.7,86,21.8,160,40.5
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Child Protection Plans ending during the first six months of the year,163,48,29.4,9,18.8,39,23.9,76,46.6
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Child Protection Plans ending during the first six months of the year,352,107,30.4,c,c,90,25.6,155,44
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Child Protection Plans ending during the first six months of the year,0,0,z,0,z,0,z,0,z
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Child Protection Plans ending during the first six months of the year,71,25,35.2,0,0,11,15.5,35,49.3
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Child Protection Plans ending during the first six months of the year,126,41,32.5,c,c,29,23,56,44.4
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,Child Protection Plans ending during the first six months of the year,184,35,19,c,c,44,23.9,105,57.1
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Child Protection Plans ending during the first six months of the year,180,85,47.2,10,11.8,37,20.6,58,32.2
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Child Protection Plans ending during the first six months of the year,94,21,22.3,c,c,29,30.9,44,46.8
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Child Protection Plans ending during the first six months of the year,115,20,17.4,10,50,28,24.3,67,58.3
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Child Protection Plans ending during the first six months of the year,163,53,32.5,15,28.3,52,31.9,58,35.6
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Child Protection Plans ending during the first six months of the year,116,36,31,11,30.6,17,14.7,63,54.3
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Child Protection Plans ending during the first six months of the year,c,0,0,0,0,0,0,c,c
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Child Protection Plans ending during the first six months of the year,119,41,34.5,12,29.3,18,15.1,60,50.4
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Child Protection Plans ending during the first six months of the year,74,20,27,6,30,21,28.4,33,44.6
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Child Protection Plans ending during the first six months of the year,119,46,38.7,c,c,39,32.8,34,28.6
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Child Protection Plans ending during the first six months of the year,74,29,39.2,c,c,7,9.5,38,51.4
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Child Protection Plans ending during the first six months of the year,34,c,c,c,c,c,c,22,64.7
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Child Protection Plans ending during the first six months of the year,184,44,23.9,12,27.3,62,33.7,78,42.4
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Child Protection Plans ending during the first six months of the year,167,40,24,16,40,45,26.9,82,49.1
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Child Protection Plans ending during the first six months of the year,187,38,20.3,c,c,70,37.4,79,42.2
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Child Protection Plans ending during the first six months of the year,193,70,36.3,26,37.1,55,28.5,68,35.2
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Child Protection Plans ending during the first six months of the year,146,59,40.4,c,c,38,26,49,33.6
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Child Protection Plans ending during the first six months of the year,104,32,30.8,0,0,28,26.9,44,42.3
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Child Protection Plans ending during the first six months of the year,63,15,23.8,0,0,22,34.9,26,41.3
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Child Protection Plans ending during the first six months of the year,240,67,27.9,19,28.4,54,22.5,119,49.6
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Child Protection Plans ending during the first six months of the year,154,55,35.7,20,36.4,32,20.8,67,43.5
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Child Protection Plans ending during the first six months of the year,160,84,52.5,12,14.3,27,16.9,49,30.6
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Child Protection Plans ending during the first six months of the year,209,82,39.2,14,17.1,55,26.3,72,34.4
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Child Protection Plans ending during the first six months of the year,176,73,41.5,19,26,30,17,73,41.5
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Child Protection Plans ending during the first six months of the year,214,80,37.4,32,40,46,21.5,88,41.1
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Child Protection Plans ending during the first six months of the year,176,64,36.4,8,12.5,36,20.5,76,43.2
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Child Protection Plans ending during the first six months of the year,176,88,50,27,30.7,36,20.5,52,29.5
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Child Protection Plans ending during the first six months of the year,108,38,35.2,6,15.8,21,19.4,49,45.4
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Child Protection Plans ending during the first six months of the year,163,85,52.1,25,29.4,29,17.8,49,30.1
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Child Protection Plans ending during the first six months of the year,164,42,25.6,15,35.7,23,14,99,60.4
