time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,At31_episodes,At31_episodes_disability_recorded,At31_episodes_disability_recorded_percent,Autism_percent,Behaviour_percent,Communication_percent,Consciousness_percent,Hand_Function_percent,Hearing_percent,Incontinence_percent,Learning_Difficulties_percent,Mobility_percent,Personal_care_percent,Vision_percent,Other_percent
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Recorded disability,27800,3770,13.6,50.6,13,12.3,2.1,1.2,2.9,1.1,27.4,9.2,2.1,3.1,21.9
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Recorded disability,42530,7500,17.6,54.3,14.1,17.2,4.1,3.1,4.1,2.5,31,11.7,5.1,5.9,17.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Recorded disability,4109,461,11.2,44.3,20.2,23,3.9,3.3,3.7,10.8,48.8,20.4,13,7.2,5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Recorded disability,1110,103,9.3,42.7,13.6,9.7,c,0,c,c,26.2,15.5,c,c,18.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Recorded disability,1592,285,17.9,48.4,23.2,23.2,12.6,2.5,4.6,8.4,40,19.6,9.5,11.2,34.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Recorded disability,1487,81,5.4,51.9,c,c,c,0,c,c,38.3,16,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Recorded disability,1951,161,8.3,28.6,10.6,11.2,c,c,5.6,c,47.8,28.6,9.3,6.8,11.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Recorded disability,2836,417,14.7,30.9,20.1,15.3,3.6,c,4.6,10.6,26.1,10.3,7.9,5,32.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Recorded disability,1712,273,15.9,44,16.5,8.1,c,0,4,c,54.2,6.2,c,5.9,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Recorded disability,2320,488,21,48.6,3.3,26.4,c,c,1.8,1.4,29.1,11.1,c,8,19.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Recorded disability,1633,171,10.5,43.3,c,7.6,7,0,c,c,40.9,18.1,0,7.6,29.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Recorded disability,1539,277,18,44.8,9.7,6.9,2.2,c,2.9,3.6,38.3,11.6,4.3,9.7,5.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Recorded disability,2395,218,9.1,37.2,5.5,11,4.1,c,5.5,5,40.8,13.8,3.2,5,16.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Recorded disability,2324,332,14.3,48.2,c,3.3,1.8,0,2.7,c,36.4,6.3,c,c,9.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Recorded disability,1523,126,8.3,38.9,8.7,11.9,c,c,c,c,34.1,22.2,7.1,10.3,10.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Recorded disability,1773,174,9.8,37.4,11.5,4.6,15.5,0,c,4,47.1,23,4.6,9.2,7.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Recorded disability,1914,129,6.7,40.3,12.4,14,c,c,c,c,46.5,12.4,c,c,7.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Recorded disability,1482,195,13.2,24.1,25.1,14.4,0,0,6.7,c,39.5,c,c,10.3,15.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Recorded disability,2128,145,6.8,40,10.3,10.3,c,0,c,4.8,23.4,14.5,4.8,12.4,13.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Recorded disability,2506,361,14.4,29.4,39.6,6.6,0,c,2.5,2.8,23,6.6,c,3.3,6.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Recorded disability,1771,199,11.2,52.8,12.6,12.6,7,c,3.5,3.5,43.2,11.1,3,3.5,10.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Recorded disability,1118,144,12.9,34.7,33.3,15.3,0,c,c,4.9,29.2,7.6,c,4.2,24.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Recorded disability,1286,159,12.4,50.3,11.9,9.4,c,0,3.8,c,28.3,15.1,c,5,8.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Recorded disability,7790,1178,15.1,33.4,21,15.9,1.3,0.8,3.6,3.4,52.2,17.7,4.2,9.3,5.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Recorded disability,5120,339,6.6,39.5,19.5,12.7,c,c,4.4,3.5,37.8,13,2.7,3.8,8.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Recorded disability,5600,684,12.2,39.9,18.3,4.8,7.7,0,2.2,0,29.7,6.6,0,5.6,23
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Recorded disability,2828,71,2.5,53.5,8.5,22.5,15.5,0,c,c,33.8,22.5,0,8.5,11.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Recorded disability,2625,289,11,44.6,7.3,5.9,2.1,c,2.8,c,14.5,14.9,2.4,6.2,29.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Recorded disability,2659,358,13.5,33.2,34.6,48.3,c,3.1,3.6,16.5,21.5,20.1,17.3,3.4,10.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Recorded disability,2443,411,16.8,52.6,20.7,20,2.7,c,2.4,5.6,37.2,14.8,5.4,6.3,16.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Recorded disability,1660,157,9.5,40.1,28,14.6,c,0,c,3.8,18.5,8.9,c,5.7,17.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Recorded disability,2455,360,14.7,50.8,22.5,12.8,4.2,c,4.4,6.7,24.4,12.8,6.1,5.6,13.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Recorded disability,2500,171,6.8,28.7,21.6,0,c,c,4.7,c,38.6,12.9,c,4.7,9.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Recorded disability,1460,102,7,57.8,20.6,7.8,c,0,c,0,29.4,c,c,c,16.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Recorded disability,1452,147,10.1,33.3,27.2,14.3,4.8,0,4.8,8.2,26.5,16.3,4.1,10.9,29.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Recorded disability,1195,163,13.6,35.6,20.2,12.9,c,c,6.1,4.3,46,17.8,c,4.9,8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Recorded disability,2606,447,17.2,38.5,35.3,8.3,4,c,2,4.5,27.5,11.6,3.4,3.1,7.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Recorded disability,2794,327,11.7,22,25.4,5.5,0,0,2.1,c,23.5,8,6.7,3.4,39.1
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Recorded disability,1804,171,9.5,49.1,15.8,4.1,c,0,3.5,c,41.5,8.8,0,5.3,19.9
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Recorded disability,5384,729,13.5,37.6,21,11.7,2.3,1,3.8,2.3,32,17.1,5.5,6.2,9.5
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Recorded disability,1609,150,9.3,36,35.3,37.3,0,c,10,12,60,13.3,14,8.7,8.7
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Recorded disability,2258,121,5.4,38,21.5,6.6,0,c,c,c,26.4,6.6,0,c,24
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Recorded disability,1731,217,12.5,37.3,9.2,18.4,0,c,2.8,2.8,16.6,13.4,c,4.1,12
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Recorded disability,3303,443,13.4,47.2,16.7,9.3,c,c,1.6,1.6,23.7,9.5,12.4,5.9,9.7
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Recorded disability,2181,170,7.8,32.9,21.8,36.5,c,c,5.3,16.5,51.8,27.6,13.5,11.2,17.6
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Recorded disability,5789,323,5.6,36.5,21.4,36.5,8,3.7,5,12.4,41.5,22.9,21.7,8.4,3.1
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Recorded disability,1856,179,9.6,23.5,13.4,8.4,c,0,6.1,c,38.5,8.9,c,c,22.9
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Recorded disability,1031,137,13.3,27,40.9,44.5,5.1,13.1,8.8,19.7,48.2,30.7,25.5,11.7,18.2
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Recorded disability,3398,623,18.3,45.1,16.4,22.8,7.7,3.9,3.5,10.9,38.7,21.7,6.6,6.4,16.1
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Recorded disability,1818,109,6,37.6,11,c,c,0,6.4,0,35.8,12.8,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Recorded disability,4002,526,13.1,43.3,33.5,25.9,2.1,4.2,6.8,11.6,36.3,19,11.8,8.2,9.7
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Recorded disability,2459,355,14.4,7.9,27.6,5.1,0,0,4.8,c,83.9,17.7,0,2.8,41.4
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Recorded disability,1089,90,8.3,62.2,12.2,21.1,c,c,10,6.7,33.3,15.6,0,c,0
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Recorded disability,2265,268,11.8,44,21.6,19,3,4.1,6.3,9.3,44.4,21.6,10.8,8.6,26.1
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Recorded disability,5330,729,13.7,47.1,36.6,0,11.8,0,2.1,0,31.1,18.2,0,8.4,17.4
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Recorded disability,2113,149,7.1,31.5,33.6,10.1,c,c,c,c,33.6,12.1,c,c,7.4
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Recorded disability,3359,254,7.6,0,0,0,0,0,0,0,0,0,0,0,100
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Recorded disability,3678,323,8.8,34.7,22.6,13,12.1,1.9,2.8,3.7,30.3,10.5,3.7,8.7,51.7
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Recorded disability,2221,313,14.1,39.9,0,4.5,c,0,c,0,26.8,5.4,0,0,48.6
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Recorded disability,2374,455,19.2,42.4,22.6,10.1,1.3,c,3.5,2.2,22.9,14.7,1.5,5.9,10.1
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Recorded disability,4173,600,14.4,49.7,41.3,c,5,0,c,0,11.5,3.3,c,2.2,29.5
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Recorded disability,163,20,12.3,40,c,c,0,0,c,0,50,c,c,0,c
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Recorded disability,2657,261,9.8,37.5,0,6.5,c,c,c,0,29.1,4.6,0,0,51.3
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Recorded disability,9209,870,9.4,49.8,27.9,19.7,0.7,1.5,3.3,6.7,32.6,9.7,8.9,4.7,28.4
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Recorded disability,3597,345,9.6,51.6,16.5,9.6,1.7,c,3.5,2,33.3,11.6,3.5,7.5,7.5
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Recorded disability,2215,261,11.8,41.8,39.5,56.3,c,c,21.8,c,69.7,10.3,c,29.9,50.6
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Recorded disability,1587,184,11.6,32.6,25.5,31.5,7.6,3.3,3.3,13,46.7,14.7,19.6,9.8,29.3
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Recorded disability,2898,403,13.9,12.4,10.4,14.6,0,0,c,c,85.1,11.4,c,2.2,12.2
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Recorded disability,2155,390,18.1,47.9,5.6,5.4,0,0,2.3,c,48.2,3.1,c,4.4,13.3
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Recorded disability,2150,372,17.3,46.2,27.7,11.8,2.4,c,3.8,2.2,28.2,4.8,c,3,13.4
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Recorded disability,5237,701,13.4,36.9,14,12.3,4.1,5,4.1,8.4,29.7,17.8,12.1,4.3,36.1
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Recorded disability,3438,297,8.6,25.9,20.2,27.6,4,c,7.1,13.8,48.1,24.6,12.1,10.4,19.5
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Recorded disability,1503,267,17.8,45.7,11.6,14.6,c,c,12.7,c,37.1,13.9,3,9.4,10.9
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Recorded disability,2483,121,4.9,35.5,24,20.7,c,c,0,7.4,24,18.2,14.9,5,10.7
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Recorded disability,4003,563,14.1,41.7,15.3,3.2,6.2,0,1.1,1.2,25.9,8.3,0,3.9,51.3
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Recorded disability,2239,314,14,36.3,33.1,30.9,5.4,2.2,6.4,12.4,57.3,17.8,16.9,9.2,22.9
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Recorded disability,3841,455,11.8,30.8,17.6,12.5,9.2,0,1.5,2,50.1,12.3,2,6.8,20.4
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Recorded disability,1307,252,19.3,55.6,8.7,17.5,c,c,6.3,4.4,34.9,11.5,4.4,9.5,17.1
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Recorded disability,3236,349,10.8,35,20.6,17.8,2,c,4,2,33,13.8,4.3,6,24.6
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Recorded disability,1624,168,10.3,48.2,25,33.9,6.5,c,6,10.1,37.5,17.3,16.1,7.7,11.3
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Recorded disability,5936,920,15.5,54.7,23.3,10.1,10,0,4.5,3.5,31.3,11.3,3.8,3.3,22.1
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Recorded disability,5437,1435,26.4,53.9,7,1.7,0,c,2.4,0,12.3,8.3,0,2.1,29
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Recorded disability,1651,237,14.4,44.3,8.9,8.9,4.6,c,c,c,65.4,13.1,5.1,6.3,19.8
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Recorded disability,4769,640,13.4,30.9,30.5,30.3,6.1,1.4,5.9,8.8,36.7,9.1,6.9,7.3,36.6
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Recorded disability,2282,251,11,42.6,12.7,9.6,c,0,3.2,c,39,11.2,2.4,4,6.8
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Recorded disability,1025,141,13.8,45.4,22.7,12.8,c,c,c,4.3,30.5,5.7,c,7.1,34.8
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Recorded disability,3737,518,13.9,41.1,24.1,26.1,2.9,5.4,5.4,10.2,39.2,20.8,14.3,6.2,14.7
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Recorded disability,1455,237,16.3,57,13.9,8.9,c,c,c,c,25.3,9.3,2.5,3,14.3
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Recorded disability,924,186,20.1,53.8,30.6,9.7,5.4,0,c,c,25.8,10.8,0,c,28
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Recorded disability,1991,442,22.2,55.7,50.2,49.3,1.4,6.8,6.8,21.9,57.2,19.7,29.4,10.2,25.3
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Recorded disability,3469,652,18.8,43.6,29.4,6.3,6.9,c,3.5,2.3,25.8,12.4,2,5.2,13
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Recorded disability,3708,424,11.4,42.5,14.9,14.4,2.6,c,2.6,c,32.8,11.6,1.4,4.2,7.1
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Recorded disability,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Recorded disability,1467,122,8.3,34.4,18,9.8,5.7,c,c,c,27.9,12.3,c,c,32
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Recorded disability,11717,2385,20.4,46.7,11.9,17.4,4,0.5,2.6,1.8,19.1,12.2,0.7,3.4,10.1
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Recorded disability,2247,304,13.5,49.7,21.1,19.7,2.6,2.6,2,4.6,41.1,15.5,3.9,3.3,22.4
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Recorded disability,2501,530,21.2,56.4,40.8,47.7,9.2,8.1,8.3,17.2,71.5,19.6,28.5,10.8,6.4
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Recorded disability,3862,437,11.3,43.9,17.8,16,5.5,4.3,5.7,6.4,42.3,21.1,8,10.8,14
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Recorded disability,1846,277,15,29.2,16.2,13,0,c,c,c,34.7,5.8,c,2.5,22
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Recorded disability,1710,160,9.4,55,18.8,5,8.1,0,c,c,43.8,22.5,0,c,38.1
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Recorded disability,1730,187,10.8,50.3,11.8,5.9,3.2,c,c,c,27.8,23.5,c,3.2,4.3
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Recorded disability,2059,500,24.3,49.8,12.8,8.2,c,c,2.4,2.2,33.6,4.8,1.8,4.4,23.2
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Recorded disability,5348,1124,21,53.7,39.8,47.7,3.1,2.3,5.8,5.6,49.4,27,8.7,9.3,21.7
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Recorded disability,1065,81,7.6,38.3,11.1,27.2,c,c,c,c,44.4,40.7,c,18.5,11.1
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Recorded disability,6106,669,11,62.6,1.3,14.1,2.1,13.8,3.7,6.1,43.6,3.4,2.1,6.6,c
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Recorded disability,842,67,8,70.1,13.4,c,c,0,c,c,10.4,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Recorded disability,1000,342,34.2,51.2,47.1,11.1,1.8,c,5,5,48.2,7.3,4.1,2.9,16.4
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Recorded disability,1082,327,30.2,54.1,20.5,19,4,3.4,4.9,8,30,15.9,8.6,8.9,15.3
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Recorded disability,2628,213,8.1,54,11.7,4.7,0,0,c,0,38.5,18.3,0,c,25.4
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Recorded disability,2996,323,10.8,23.2,36.5,34.4,2.5,c,5.3,c,38.7,13.9,1.9,5.3,25.4
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Recorded disability,3054,253,8.3,38.3,11.1,13,13.4,0,4.7,c,41.5,17,4.3,8.3,38.3
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Recorded disability,3604,727,20.2,56.7,35.2,27,1.4,2.6,3.3,6.9,29.3,6.5,8.9,4.7,21.7
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Recorded disability,2167,270,12.5,61.5,20.7,19.3,3,c,3,9.6,35.9,10.4,10.4,7.4,17.4
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Recorded disability,3949,380,9.6,47.9,15.5,12.1,3.9,c,2.6,3.4,43.7,7.6,3.9,4.2,21.8
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Recorded disability,11,c,c,c,0,0,0,0,0,0,0,0,0,0,0
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Recorded disability,991,133,13.4,31.6,24.1,18.8,5.3,c,4.5,8.3,44.4,13.5,10.5,c,15
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Recorded disability,2469,313,12.7,39.3,55.3,28.1,5.8,7.7,7.7,20.1,40.3,17.9,27.5,7.7,21.4
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,Recorded disability,3004,235,7.8,40.9,22.1,23.4,6.4,c,3.4,6,31.5,16.6,7.2,3.8,0
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Recorded disability,1610,192,11.9,44.3,19.8,40.6,10.4,3.1,3.1,12,45.3,23.4,14.6,5.7,42.2
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Recorded disability,1799,123,6.8,49.6,6.5,5.7,0,c,8.9,c,26,c,c,c,30.9
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Recorded disability,1434,252,17.6,31.7,25.8,20.6,6.7,3.2,4.8,8.3,42.5,13.9,12.7,7.9,8.3
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Recorded disability,2617,320,12.2,45.6,7.5,17.2,5.6,6.9,2.5,7.2,26.6,19.4,11.9,5.9,38.4
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Recorded disability,1779,429,24.1,52,6.3,30.1,4,c,3.7,0,28.2,8.4,1.4,3,27.7
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Recorded disability,24,c,c,c,0,c,c,c,c,c,c,0,c,c,0
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Recorded disability,2401,307,12.8,59,4.2,5.5,0,0,2,c,28,16,0,c,6.8
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Recorded disability,1343,74,5.5,58.1,23,c,c,c,0,c,40.5,c,c,0,24.3
