time_period,time_identifier,geographic_level,country_code,country_name,category,category_type,number,rate,percent
2020,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,760330,644.9,z
2020,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,706830,599.5,z
2020,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,408310,346.3,z
2020,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,381020,323.2,z
2020,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,371070,314.7,z
2020,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,349500,296.4,z
2020,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,389260,330.1,z
2020,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,17710,15,4.5
2020,Reporting year,National,E92000001,England,Referrals,Referrals in the year,642980,545.3,z
2020,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,145390,z,22.6
2020,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,40400,z,6.3
2020,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,194190,z,30.2
2020,Reporting year,National,E92000001,England,Referrals,Children referred in the year,568600,482.3,z
2020,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,121150,z,21.3
2020,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,665660,564.6,z
2019,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,762330,648.5,z
2019,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,708840,603,z
2019,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,408880,347.8,z
2019,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,381920,324.9,z
2019,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,362830,308.6,z
2019,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,342960,291.7,z
2019,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,399510,339.8,z
2019,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,25080,21.3,6.3
2019,Reporting year,National,E92000001,England,Referrals,Referrals in the year,650930,553.7,z
2019,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,147150,z,22.6
2019,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,52610,z,8.1
2019,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,189390,z,29.1
2019,Reporting year,National,E92000001,England,Referrals,Children referred in the year,575290,489.4,z
2019,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,123020,z,21.4
2019,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,644730,548.4,z
2018,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,753840,643.4,z
2018,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,705060,601.8,z
2018,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,406770,347.2,z
2018,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,382180,326.2,z
2018,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,349130,298,z
2018,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,331910,283.3,z
2018,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,404710,345.4,z
2018,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,26130,22.3,6.5
2018,Reporting year,National,E92000001,England,Referrals,Referrals in the year,655630,559.6,z
2018,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,143810,z,21.9
2018,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,61690,z,9.4
2018,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,186560,z,28.5
2018,Reporting year,National,E92000001,England,Referrals,Children referred in the year,581280,496.1,z
2018,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,120190,z,20.7
2018,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,631090,538.6,z
2017,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,742890,636.5,z
2017,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,692880,593.7,z
2017,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,400110,342.8,z
2017,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,374640,321,z
2017,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,353860,303.2,z
2017,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,335100,287.1,z
2017,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,389040,333.3,z
2017,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,23530,20.2,6
2017,Reporting year,National,E92000001,England,Referrals,Referrals in the year,646120,553.6,z
2017,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,141680,z,21.9
2017,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,66040,z,10.2
2017,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,179930,z,27.8
2017,Reporting year,National,E92000001,England,Referrals,Children referred in the year,571000,489.2,z
2017,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,117770,z,20.6
2017,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,606910,520,z
2016,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,747490,644.7,z
2016,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,694590,599.1,z
2016,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,401480,346.3,z
2016,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,373020,321.7,z
2016,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,353590,305,z
2016,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,331950,286.3,z
2016,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,393910,339.8,z
2016,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,27350,23.6,6.9
2016,Reporting year,National,E92000001,England,Referrals,Referrals in the year,621470,536,z
2016,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,139900,z,22.5
2016,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,61800,z,9.9
2016,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,158060,z,25.4
2016,Reporting year,National,E92000001,England,Referrals,Children referred in the year,547330,472.1,z
2016,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,113820,z,20.8
2016,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,571640,493.1,z
2015,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,754460,654,z
2015,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,698680,605.7,z
2015,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,403300,349.6,z
2015,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,373610,323.9,z
2015,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,364330,315.8,z
2015,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,341030,295.6,z
2015,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,390130,338.2,z
2015,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,27480,23.8,7
2015,Reporting year,National,E92000001,England,Referrals,Referrals in the year,635620,551,z
2015,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,154070,z,24.2
2015,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,87530,z,13.8
2015,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,146300,z,23
2015,Reporting year,National,E92000001,England,Referrals,Children referred in the year,553500,479.8,z
2015,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,124060,z,22.4
2015,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,550810,477.5,z
2014,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,767910,669.3,z
2014,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,708780,617.8,z
2014,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,425710,371.1,z
2014,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,392880,342.4,z
2014,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,373100,325.2,z
2014,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,347920,303.2,z
2014,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,395480,344.7,z
2014,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,27930,24.3,7.1
2014,Reporting year,National,E92000001,England,Referrals,Referrals in the year,657780,573.3,z
2014,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,154800,z,23.5
2014,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,92450,z,14.1
2014,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,128910,z,19.6
2014,Reporting year,National,E92000001,England,Referrals,Children referred in the year,570790,497.5,z
2014,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,124970,z,21.9
2014,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,175290,152.8,z
2013,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,728840,639.1,z
2013,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,675030,591.9,z
2013,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,394940,346.3,z
2013,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,363580,318.8,z
2013,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,348930,306,z
2013,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,325850,285.7,z
2013,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,378030,331.5,z
2013,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,19920,17.5,5.3
2013,Reporting year,National,E92000001,England,Referrals,Referrals in the year,593470,520.4,z
2013,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,146770,z,24.7
2013,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,85830,z,14.5
2013,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,112590,z,19
2013,Reporting year,National,E92000001,England,Referrals,Children referred in the year,511500,448.5,z
2013,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,116920,z,22.9
2013,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,x,x,x
