time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,At31_episodes,N1_Abuse_or_neglect,N2_Childs_disability_or_illness,N3_Parents_disability_or_illness,N4_Family_in_acute_stress,N5_Family_dysfunction,N6_Socially_unacceptable_behaviour,N7_Low_income,N8_Absent_parenting,N9_Cases_other_than_CIN,N0_Not_stated
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Primary need at assessment,1523,1305,62,c,53,63,c,c,32,c,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Primary need at assessment,1773,1144,64,49,75,73,7,0,12,15,334
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Primary need at assessment,1914,1531,94,c,78,104,25,c,59,0,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Primary need at assessment,1482,1087,74,23,98,81,69,0,33,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Primary need at assessment,2128,1541,108,11,184,120,6,0,158,0,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Primary need at assessment,2506,1912,119,96,27,158,95,21,68,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Primary need at assessment,1771,1375,137,20,35,80,12,0,66,11,35
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Primary need at assessment,1118,989,23,c,12,55,13,0,18,0,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary need at assessment,1286,833,117,6,147,116,25,c,39,c,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Primary need at assessment,7790,4574,709,109,439,1615,c,31,224,c,61
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary need at assessment,5120,3616,137,55,492,393,94,c,266,c,64
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Primary need at assessment,5600,3607,410,95,237,228,125,7,714,13,164
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Primary need at assessment,2828,1681,81,25,227,634,79,c,73,20,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Primary need at assessment,2625,1939,312,26,170,126,c,c,30,0,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Primary need at assessment,2659,1717,112,20,135,545,32,c,50,36,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Primary need at assessment,2443,1206,297,21,370,430,c,c,56,40,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Primary need at assessment,1660,1339,79,7,67,96,37,c,31,c,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Primary need at assessment,2455,1064,204,53,391,551,98,0,55,32,7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Primary need at assessment,2500,1993,61,8,197,154,36,c,46,0,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Primary need at assessment,1460,992,57,20,179,79,53,c,67,c,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Primary need at assessment,1452,950,53,c,111,145,100,0,82,c,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Primary need at assessment,1195,908,146,c,47,41,c,0,20,12,9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Primary need at assessment,2606,1820,131,49,270,170,34,c,128,c,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Primary need at assessment,2794,2328,139,44,64,126,22,c,57,c,9
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Primary need at assessment,1804,1544,73,8,32,65,12,0,36,27,7
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Primary need at assessment,5384,4683,274,12,114,92,40,22,131,16,0
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Primary need at assessment,1609,1320,42,13,66,81,16,0,63,8,0
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Primary need at assessment,2258,1243,36,52,250,217,c,c,91,296,49
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Primary need at assessment,1731,1163,175,27,41,152,23,0,71,23,56
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Primary need at assessment,3303,1864,333,29,228,687,16,c,113,18,c
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Primary need at assessment,2181,1678,91,c,125,152,10,c,79,0,38
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Primary need at assessment,5789,3971,191,105,310,238,215,27,337,0,395
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Primary need at assessment,1856,1496,82,57,9,105,30,c,70,c,c
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Primary need at assessment,1031,494,47,11,78,249,16,0,77,17,42
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Primary need at assessment,3398,2379,426,43,331,53,c,c,111,47,0
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Primary need at assessment,1818,1667,17,8,30,28,c,c,43,21,0
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Primary need at assessment,4002,2696,217,26,434,394,69,c,112,32,c
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Primary need at assessment,2459,2202,65,16,23,107,8,0,35,c,c
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Primary need at assessment,1089,704,91,37,111,51,20,0,44,31,0
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Primary need at assessment,2265,1606,144,86,108,c,107,c,138,0,0
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Primary need at assessment,5330,2320,384,544,948,482,144,6,189,167,146
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Primary need at assessment,2113,1607,23,42,93,122,32,0,91,6,97
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Primary need at assessment,3359,2104,124,116,193,467,c,c,218,64,35
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Primary need at assessment,3678,2903,201,32,49,359,c,c,69,51,0
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Primary need at assessment,2221,805,190,94,188,703,c,c,49,120,34
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Primary need at assessment,2374,1470,148,13,116,97,22,12,40,28,428
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Primary need at assessment,4173,1208,231,169,237,1047,171,27,188,152,743
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Primary need at assessment,163,86,17,c,7,18,0,0,27,c,0
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Primary need at assessment,2657,916,222,119,188,850,c,c,123,156,49
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Primary need at assessment,9209,6266,249,82,1093,652,287,14,452,7,107
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Primary need at assessment,3597,3013,168,c,171,53,20,c,127,21,0
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Primary need at assessment,2215,1614,193,18,89,174,36,c,68,12,c
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Primary need at assessment,1587,873,95,73,69,122,52,0,86,22,195
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Primary need at assessment,2898,2149,73,c,215,172,34,c,121,13,108
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Primary need at assessment,2155,1236,353,12,73,123,29,0,123,61,145
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Primary need at assessment,2150,1243,67,64,253,271,48,c,179,c,11
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Primary need at assessment,5237,1613,582,27,861,1503,c,c,317,266,36
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Primary need at assessment,3438,2085,256,138,205,573,66,c,68,c,31
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Primary need at assessment,1503,1044,191,22,40,53,8,c,56,82,c
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Primary need at assessment,2483,1455,86,87,108,440,111,6,118,72,0
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Primary need at assessment,4003,1268,382,22,436,1261,53,0,326,0,255
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Primary need at assessment,2239,840,107,40,313,461,54,10,72,28,314
2024,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Primary need at assessment,3841,2785,324,59,213,190,25,c,192,c,41
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Primary need at assessment,1307,738,278,9,68,90,13,c,101,c,0
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Primary need at assessment,3236,2290,210,42,220,97,39,c,329,c,0
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Primary need at assessment,1624,980,76,29,217,96,36,c,182,c,0
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Primary need at assessment,5936,3738,1040,58,291,208,c,c,495,59,c
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Primary need at assessment,5437,1659,1364,314,694,1271,79,45,c,c,0
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Primary need at assessment,1651,1105,155,22,93,99,31,c,136,0,c
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Primary need at assessment,4769,2662,172,14,524,526,10,7,336,33,485
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Primary need at assessment,2282,1817,172,10,36,103,17,9,118,0,0
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Primary need at assessment,1025,714,88,8,41,39,27,0,46,8,54
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Primary need at assessment,3737,2369,265,27,215,179,24,7,306,66,279
2024,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Primary need at assessment,1455,877,153,c,168,80,c,0,154,0,0
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Primary need at assessment,924,549,135,53,50,56,c,0,50,0,c
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Primary need at assessment,1991,852,163,56,447,206,66,c,132,c,55
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Primary need at assessment,3469,2463,301,c,204,247,54,c,134,28,17
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Primary need at assessment,3708,2259,168,17,367,412,15,19,239,28,184
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Primary need at assessment,u,u,u,u,u,u,u,u,u,u,u
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Primary need at assessment,1467,341,46,11,6,1012,c,c,40,0,8
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Primary need at assessment,11717,4096,1079,150,1270,3259,139,c,1637,52,c
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Primary need at assessment,2247,1397,203,112,279,148,68,0,40,0,0
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Primary need at assessment,2501,765,674,125,126,288,60,20,121,0,322
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Primary need at assessment,3862,2077,302,253,511,241,130,10,283,10,45
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Primary need at assessment,1846,1111,68,75,120,259,30,c,179,c,0
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Primary need at assessment,1710,861,103,80,299,113,94,c,93,43,c
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Primary need at assessment,1730,1311,129,22,35,35,109,c,78,c,0
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Primary need at assessment,2059,1551,233,c,73,35,22,0,137,c,0
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Primary need at assessment,5348,3011,756,c,458,590,65,c,423,21,0
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Primary need at assessment,1065,486,102,c,169,169,31,c,88,0,0
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Primary need at assessment,6106,2087,223,134,424,188,60,8,56,32,2894
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Primary need at assessment,842,330,28,16,111,111,c,c,66,24,146
2024,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Primary need at assessment,1000,536,69,77,154,50,13,0,93,0,8
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Primary need at assessment,1082,457,212,16,196,51,c,0,63,c,77
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Primary need at assessment,2628,1438,198,175,237,355,46,c,140,31,c
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Primary need at assessment,2996,2097,163,51,230,178,39,c,218,c,0
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Primary need at assessment,3054,1170,180,202,637,322,c,c,91,169,233
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Primary need at assessment,3604,2312,180,80,505,244,38,c,141,c,91
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Primary need at assessment,2167,1175,171,25,179,401,33,0,151,32,0
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Primary need at assessment,3949,2433,118,c,598,523,56,c,202,0,0
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Primary need at assessment,11,c,c,0,c,0,c,0,0,0,0
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Primary need at assessment,991,325,88,c,278,192,c,0,79,18,0
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Primary need at assessment,2469,1973,171,76,37,34,89,26,55,c,c
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,Primary need at assessment,3004,2227,123,42,260,156,15,0,131,35,15
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Primary need at assessment,1610,363,75,53,525,374,34,8,92,16,70
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Primary need at assessment,1799,1032,118,60,175,175,54,c,87,c,87
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Primary need at assessment,1434,1134,106,13,52,57,c,c,32,15,19
2024,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Primary need at assessment,2617,1919,239,16,80,143,c,c,127,30,49
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Primary need at assessment,1779,734,301,98,204,153,49,c,225,c,0
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Primary need at assessment,24,c,c,0,7,c,0,0,0,0,c
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Primary need at assessment,2401,1080,279,154,322,167,161,13,139,39,47
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Primary need at assessment,1343,726,44,47,180,143,59,10,115,12,7
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Primary need at assessment,2197,1246,203,66,284,87,139,13,140,19,0
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Primary need at assessment,1879,1057,115,28,246,125,62,c,222,c,0
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Primary need at assessment,770,233,22,24,175,100,45,6,165,0,0
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Primary need at assessment,2819,1174,147,157,567,230,249,8,219,39,29
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Primary need at assessment,2638,1584,319,21,133,219,86,24,239,13,0
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Primary need at assessment,3411,1650,398,113,263,260,234,155,197,0,141
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Primary need at assessment,2557,1151,336,144,336,192,118,c,267,c,0
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Primary need at assessment,2908,1338,288,92,565,223,155,11,223,13,0
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Primary need at assessment,1682,555,190,119,442,120,55,7,134,60,0
2024,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Primary need at assessment,1391,541,83,75,177,141,47,18,270,11,28
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Primary need at assessment,2424,1961,41,32,57,192,36,7,67,31,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Primary need at assessment,2275,1415,173,20,197,164,64,0,218,24,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Primary need at assessment,1732,759,263,35,176,257,55,34,153,0,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Primary need at assessment,2729,1172,571,94,334,176,100,0,224,10,48
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Primary need at assessment,2492,1760,377,29,122,103,c,c,70,0,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Primary need at assessment,4708,3260,298,73,309,122,91,c,516,c,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Primary need at assessment,2622,1215,309,145,383,237,78,c,152,85,c
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Primary need at assessment,2745,1364,624,37,242,193,76,23,175,c,c
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Primary need at assessment,2561,978,483,181,122,496,142,28,131,0,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Primary need at assessment,1478,719,216,94,133,133,30,16,137,0,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Primary need at assessment,2558,1418,415,13,112,79,208,6,124,22,161
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Primary need at assessment,2679,1596,171,45,249,99,73,21,389,36,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Primary need at assessment,1612,1021,92,10,72,92,40,0,266,19,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Primary need at assessment,1042,622,63,c,135,92,20,0,100,c,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Primary need at assessment,1275,644,117,45,174,89,57,c,128,c,11
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Primary need at assessment,2466,1386,621,49,92,106,c,c,173,0,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Primary need at assessment,1000,625,68,19,108,71,c,c,89,c,0
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Primary need at assessment,2041,769,476,55,345,143,37,8,195,0,13
2024,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Primary need at assessment,2092,973,73,97,387,206,140,18,177,0,21
2023,Reporting year,National,E92000001,England,,,,,,Primary need at assessment,403090,231500,32790,8540,35540,51160,8040,1190,20970,3520,9830
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Primary need at assessment,24530,14150,2010,230,2340,4370,290,40,440,60,620
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Primary need at assessment,60410,40160,3820,770,4240,7300,990,120,2020,210,780
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary need at assessment,40100,29900,2160,460,2330,2510,480,90,1230,500,440
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary need at assessment,28900,15720,2310,1120,1940,3080,570,70,1070,760,2260
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary need at assessment,47670,28070,3160,740,4320,6490,930,100,1990,500,1370
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Primary need at assessment,32610,19260,3780,540,2660,2710,360,100,2030,160,1010
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,Primary need at assessment,69980,35220,7440,2300,7750,6130,2730,510,6310,450,1130
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Primary need at assessment,64990,29850,5510,1470,5690,15090,1150,100,4350,450,1350
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Primary need at assessment,33900,19170,2610,910,4280,3490,540,70,1520,450,860
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Primary need at assessment,28350,13180,2640,1160,3820,2400,1390,270,2610,240,650
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Primary need at assessment,41630,22040,4810,1140,3930,3730,1340,240,3710,210,480
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary need at assessment,3827,3135,192,39,139,148,36,0,68,11,59
